FECHA (YYMMDD);HORA (HHMM);
180101;0;3
180102;0;1
180103;0;1
180104;0;3
180105;0;2
180106;0;3
180107;0;1
180108;0;1
180109;0;1
180110;0;1
180111;0;1
180112;0;3
180113;0;5
180114;0;3
180115;0;4
180116;0;5
180117;0;2
180118;0;2
180119;0;3
180120;0;2
180121;0;3
180122;0;4
180123;0;3
180124;0;5
180125;0;5
180126;0;3
180127;0;3
180128;0;2
180129;0;4
180130;0;2
180131;0;4
180201;0;6
180202;0;3
180203;0;1
180204;0;1
180205;0;2
180206;0;2
180207;0;2
180208;0;3
180209;0;3
180210;0;4
180211;0;4
180212;0;3
180213;0;4
180214;0;3
180215;0;3
180216;0;2
180217;0;2
180218;0;3
180219;0;4
180220;0;2
180221;0;4
180222;0;5
180223;0;2
180224;0;2
180225;0;2
180226;0;2
180227;0;2
180228;0;2
180301;0;3
180302;0;3
180303;0;4
180304;0;4
180305;0;4
180306;0;5
180307;0;7
180308;0;4
180309;0;5
180310;0;1
180311;0;1
180312;0;6
180313;0;11
180314;0;14
180315;0;18
180316;0;12
180317;0;16
180318;0;25
180319;0;22
180320;0;10
180321;0;15
180322;0;8
180323;0;12
180324;0;15
180325;0;19
180326;0;15
180327;0;11
180328;0;15
180329;0;6
180330;0;10
180331;0;8
180401;0;8
180402;0;15
180403;0;11
180404;0;18
180405;0;26
180406;0;38
180407;0;52
180408;0;46
180409;0;17
180410;0;11
180411;0;47
180412;0;24
180413;0;36
180414;0;59
180415;0;43
180416;0;46
180417;0;48
180418;0;56
180419;0;47
180420;0;22
180421;0;20
180422;0;37
180423;0;74
180424;0;56
180425;0;43
180426;0;30
180427;0;49
180428;0;73
180429;0;NA
180430;0;70
180501;0;22
180502;0;18
180503;0;37
180504;0;91
180505;0;59
180506;0;80
180507;0;64
180508;0;20
180509;0;27
180510;0;51
180511;0;72
180512;0;60
180513;0;11
180514;0;28
180515;0;70
180516;0;50
180517;0;23
180518;0;67
180519;0;62
180520;0;72
180521;0;146
180522;0;188
180523;0;194
180524;0;121
180525;0;70
180526;0;35
180527;0;35
180528;0;25
180529;0;68
180530;0;75
180531;0;99
180601;0;85
180602;0;149
180603;0;110
180604;0;92
180605;0;47
180606;0;115
180607;0;74
180608;0;52
180609;0;32
180610;0;39
180611;0;72
180612;0;105
180613;0;112
180614;0;57
180615;0;70
180616;0;180
180617;0;62
180618;0;84
180619;0;75
180620;0;43
180621;0;46
180622;0;44
180623;0;88
180624;0;96
180625;0;18
180626;0;18
180627;0;50
180628;0;66
180629;0;26
180630;0;26
180701;0;71
180702;0;68
180703;0;76
180704;0;5
180705;0;8
180706;0;22
180707;0;100
180708;0;101
180709;0;99
180710;0;68
180711;0;89
180712;0;41
180713;0;12
180714;0;26
180715;0;95
180716;0;69
180717;0;44
180718;0;72
180719;0;97
180720;0;66
180721;0;53
180722;0;88
180723;0;109
180724;0;115
180725;0;190
180726;0;136
180727;0;104
180728;0;79
180729;0;38
180730;0;77
180731;0;123
180801;0;169
180802;0;44
180803;0;39
180804;0;24
180805;0;11
180806;0;10
180807;0;56
180808;0;135
180809;0;153
180810;0;126
180811;0;66
180812;0;35
180813;0;57
180814;0;62
180815;0;96
180816;0;66
180817;0;23
180818;0;102
180819;0;112
180820;0;103
180821;0;50
180822;0;28
180823;0;28
180824;0;43
180825;0;52
180826;0;31
180827;0;61
180828;0;33
180829;0;27
180830;0;99
180831;0;58
180901;0;40
180902;0;37
180903;0;39
180904;0;46
180905;0;32
180906;0;66
180907;0;80
180908;0;77
180909;0;43
180910;0;47
180911;0;31
180912;0;25
180913;0;24
180914;0;26
180915;0;51
180916;0;23
180917;0;15
180918;0;16
180919;0;13
180920;0;8
180921;0;9
180922;0;10
180923;0;29
180924;0;37
180925;0;25
180926;0;39
180927;0;9
180928;0;10
180929;0;7
180930;0;15
181001;0;33
181002;0;24
181003;0;47
181004;0;24
181005;0;26
181006;0;20
181007;0;15
181008;0;11
181009;0;29
181010;0;28
181011;0;12
181012;0;28
181013;0;28
181014;0;15
181015;0;11
181016;0;10
181017;0;12
181018;0;12
181019;0;10
181020;0;14
181021;0;21
181022;0;23
181023;0;18
181024;0;22
181025;0;25
181026;0;10
181027;0;8
181028;0;7
181029;0;6
181030;0;11
181031;0;16
181101;0;15
181102;0;10
181103;0;10
181104;0;9
181105;0;15
181106;0;12
181107;0;10
181108;0;10
181109;0;9
181110;0;10
181111;0;15
181112;0;13
181113;0;8
181114;0;5
181115;0;7
181116;0;14
181117;0;11
181118;0;10
181119;0;8
181120;0;8
181121;0;3
181122;0;7
181123;0;7
181124;0;7
181125;0;6
181126;0;7
181127;0;6
181128;0;7
181129;0;6
181130;0;6
181201;0;8
181202;0;9
181203;0;9
181204;0;7
181205;0;5
181206;0;9
181207;0;12
181208;0;8
181209;0;6
181210;0;7
181211;0;4
181212;0;5
181213;0;5
181214;0;5
181215;0;6
181216;0;5
181217;0;6
181218;0;7
181219;0;5
181220;0;4
181221;0;4
181222;0;6
181223;0;4
181224;0;4
181225;0;3
181226;0;8
181227;0;11
181228;0;6
181229;0;11
181230;0;8
181231;0;10
190101;0;6
190102;0;6
190103;0;6
190104;0;8
190105;0;3
190106;0;3
190107;0;3
190108;0;2
190109;0;3
190110;0;3
190111;0;2
190112;0;6
190113;0;3
190114;0;7
190115;0;NA
190116;0;NA
190117;0;6
190118;0;8
190119;0;7
190120;0;4
190121;0;7
190122;0;7
190123;0;9
190124;0;11
190125;0;8
190126;0;9
190127;0;8
190128;0;8
190129;0;4
190130;0;6
190131;0;7
190201;0;8
190202;0;9
190203;0;13
190204;0;56
190205;0;5
190206;0;6
190207;0;7
190208;0;7
190209;0;7
190210;0;4
190211;0;5
190212;0;7
190213;0;13
190214;0;6
190215;0;18
190216;0;32
190217;0;15
190218;0;8
190219;0;7
