FECHA (YYMMDD);HORA (HHMM);
180101;0;11
180102;0;8
180103;0;9
180104;0;19
180105;0;21
180106;0;14
180107;0;11
180108;0;NA
180109;0;15
180110;0;22
180111;0;17
180112;0;19
180113;0;25
180114;0;NA
180115;0;17
180116;0;11
180117;0;13
180118;0;18
180119;0;22
180120;0;15
180121;0;15
180122;0;24
180123;0;21
180124;0;25
180125;0;NA
180126;0;16
180127;0;12
180128;0;18
180129;0;12
180130;0;12
180131;0;28
180201;0;31
180202;0;17
180203;0;16
180204;0;15
180205;0;16
180206;0;12
180207;0;14
180208;0;12
180209;0;12
180210;0;14
180211;0;13
180212;0;21
180213;0;22
180214;0;22
180215;0;13
180216;0;12
180217;0;12
180218;0;16
180219;0;26
180220;0;26
180221;0;23
180222;0;21
180223;0;17
180224;0;18
180225;0;14
180226;0;15
180227;0;17
180228;0;16
180301;0;17
180302;0;19
180303;0;16
180304;0;12
180305;0;14
180306;0;20
180307;0;11
180308;0;11
180309;0;21
180310;0;16
180311;0;19
180312;0;23
180313;0;22
180314;0;19
180315;0;24
180316;0;28
180317;0;24
180318;0;33
180319;0;34
180320;0;33
180321;0;26
180322;0;23
180323;0;30
180324;0;34
180325;0;22
180326;0;37
180327;0;32
180328;0;33
180329;0;35
180330;0;32
180331;0;16
180401;0;17
180402;0;29
180403;0;30
180404;0;39
180405;0;44
180406;0;58
180407;0;82
180408;0;NA
180409;0;20
180410;0;28
180411;0;70
180412;0;49
180413;0;119
180414;0;79
180415;0;58
180416;0;75
180417;0;78
180418;0;64
180419;0;35
180420;0;66
180421;0;31
180422;0;41
180423;0;46
180424;0;95
180425;0;57
180426;0;30
180427;0;106
180428;0;44
180429;0;23
180430;0;72
180501;0;71
180502;0;35
180503;0;97
180504;0;42
180505;0;52
180506;0;92
180507;0;96
180508;0;44
180509;0;92
180510;0;65
180511;0;69
180512;0;54
180513;0;21
180514;0;59
180515;0;103
180516;0;68
180517;0;55
180518;0;151
180519;0;44
180520;0;93
180521;0;143
180522;0;120
180523;0;102
180524;0;154
180525;0;77
180526;0;167
180527;0;92
180528;0;40
180529;0;115
180530;0;88
180531;0;29
180601;0;42
180602;0;165
180603;0;271
180604;0;224
180605;0;104
180606;0;150
180607;0;62
180608;0;120
180609;0;96
180610;0;93
180611;0;35
180612;0;92
180613;0;40
180614;0;57
180615;0;108
180616;0;149
180617;0;75
180618;0;43
180619;0;66
180620;0;41
180621;0;57
180622;0;59
180623;0;129
180624;0;80
180625;0;23
180626;0;27
180627;0;45
180628;0;31
180629;0;20
180630;0;38
180701;0;45
180702;0;52
180703;0;116
180704;0;83
180705;0;21
180706;0;83
180707;0;74
180708;0;57
180709;0;64
180710;0;89
180711;0;55
180712;0;34
180713;0;17
180714;0;41
180715;0;94
180716;0;73
